libraryId	experimentId	speciesId
SRX1812497	SRP075939	9913
SRX1812498	SRP075939	9913
SRX1812499	SRP075939	9913
SRX1812500	SRP075939	9913
SRX1812501	SRP075939	9913
SRX1812503	SRP075939	9913
SRX1812504	SRP075939	9913
SRX1812505	SRP075939	9913
SRX1812506	SRP075939	9913
SRX1812507	SRP075939	9913
SRX1812508	SRP075939	9913
SRX1812510	SRP075939	9913
SRX1812511	SRP075939	9913
SRX1812512	SRP075939	9913
SRX1812513	SRP075939	9913
SRX1812514	SRP075939	9913
SRX1812515	SRP075939	9913
SRX1812516	SRP075939	9913
SRX1812517	SRP075939	9913
SRX1812519	SRP075939	9913
SRX1812520	SRP075939	9913
SRX1812521	SRP075939	9913
SRX1812522	SRP075939	9913
SRX1812523	SRP075939	9913
SRX1812524	SRP075939	9913
SRX1812525	SRP075939	9913
SRX1812527	SRP075939	9913
SRX1812528	SRP075939	9913
SRX1812529	SRP075939	9913
SRX1812530	SRP075939	9913
SRX1812531	SRP075939	9913
SRX1812532	SRP075939	9913
SRX1812533	SRP075939	9913
SRX1812535	SRP075939	9913
SRX1812536	SRP075939	9913
SRX1812537	SRP075939	9913
SRX1812538	SRP075939	9913
SRX1812539	SRP075939	9913
SRX1812540	SRP075939	9913
SRX1812541	SRP075939	9913
SRX1812542	SRP075939	9913
SRX1812543	SRP075939	9913
SRX1812544	SRP075939	9913
SRX1812546	SRP075939	9913
SRX1812547	SRP075939	9913
SRX1812548	SRP075939	9913
SRX1812549	SRP075939	9913
SRX1812550	SRP075939	9913
SRX1812551	SRP075939	9913
SRX1812552	SRP075939	9913
SRX1812553	SRP075939	9913
SRX1812555	SRP075939	9913
SRX1812556	SRP075939	9913
SRX1812557	SRP075939	9913
SRX1812558	SRP075939	9913
SRX1812559	SRP075939	9913
SRX1812560	SRP075939	9913
SRX1812561	SRP075939	9913
SRX1812562	SRP075939	9913
SRX1812564	SRP075939	9913
SRX1812565	SRP075939	9913
SRX1812566	SRP075939	9913
SRX1812567	SRP075939	9913
SRX1812568	SRP075939	9913
SRX1812569	SRP075939	9913
SRX1812570	SRP075939	9913
SRX1812572	SRP075939	9913
SRX1812573	SRP075939	9913
SRX1812574	SRP075939	9913
SRX1812575	SRP075939	9913
SRX1812576	SRP075939	9913
SRX1812577	SRP075939	9913
SRX1812578	SRP075939	9913
SRX1812579	SRP075939	9913
SRX1812580	SRP075939	9913
SRX1812581	SRP075939	9913
SRX1812582	SRP075939	9913
SRX1812583	SRP075939	9913
SRX1812585	SRP075939	9913
SRX1812586	SRP075939	9913
SRX1812587	SRP075939	9913
SRX1812588	SRP075939	9913
SRX1812589	SRP075939	9913
SRX1812590	SRP075939	9913
SRX1812591	SRP075939	9913
SRX1812592	SRP075939	9913
SRX1812593	SRP075939	9913
SRX1812594	SRP075939	9913
SRX1812595	SRP075939	9913
SRX1812597	SRP075939	9913
SRX1812598	SRP075939	9913
