libraryId	min_read_length	max_read_length	average_read_length
SRX493984	100.0	100.0	100.0
SRX493985	100.0	100.0	100.0
SRX493986	100.0	100.0	100.0
SRX493987	100.0	100.0	100.0
SRX493988	100.0	100.0	100.0
SRX493989	100.0	100.0	100.0
SRX493990	100.0	100.0	100.0
SRX493991	100.0	100.0	100.0
SRX493992	100.0	100.0	100.0
SRX493993	100.0	100.0	100.0
SRX493994	100.0	100.0	100.0
SRX493995	100.0	100.0	100.0
SRX493996	100.0	100.0	100.0
SRX493998	100.0	100.0	100.0
SRX493999	100.0	100.0	100.0
SRX494002	100.0	100.0	100.0
SRX494003	100.0	100.0	100.0
SRX494006	100.0	100.0	100.0
SRX494007	100.0	100.0	100.0
SRX494011	100.0	100.0	100.0
SRX494013	100.0	100.0	100.0
SRX494016	100.0	100.0	100.0
SRX494017	100.0	100.0	100.0
SRX494018	100.0	100.0	100.0
SRX494021	100.0	100.0	100.0
SRX494023	100.0	100.0	100.0
SRX494024	100.0	100.0	100.0
SRX494025	100.0	100.0	100.0
SRX494026	100.0	100.0	100.0
SRX494027	100.0	100.0	100.0
SRX494028	100.0	100.0	100.0
SRX494029	100.0	100.0	100.0
SRX494030	100.0	100.0	100.0
SRX494031	100.0	100.0	100.0
SRX494034	100.0	100.0	100.0
SRX494035	100.0	100.0	100.0
SRX494036	100.0	100.0	100.0
SRX494037	100.0	100.0	100.0
SRX494038	100.0	100.0	100.0
SRX494039	100.0	100.0	100.0
SRX494040	100.0	100.0	100.0
SRX494041	100.0	100.0	100.0
SRX494042	100.0	100.0	100.0
SRX494043	100.0	100.0	100.0
SRX494045	100.0	100.0	100.0
SRX494046	100.0	100.0	100.0
SRX494048	100.0	100.0	100.0
SRX494049	100.0	100.0	100.0
SRX494050	10000.0	0.0	
SRX494051	100.0	100.0	100.0
SRX494052	100.0	100.0	100.0
SRX494053	100.0	100.0	100.0
SRX494055	100.0	100.0	100.0
SRX494056	100.0	100.0	100.0
SRX494057	100.0	100.0	100.0
SRX494058	100.0	100.0	100.0
SRX494061	100.0	100.0	100.0
SRX494062	100.0	100.0	100.0
SRX494064	100.0	100.0	100.0
SRX494065	100.0	100.0	100.0
SRX494067	100.0	100.0	100.0
