libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	anatId	sex	strain	readLength	genotype	organism
ERX1226779	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226780	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226781	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226782	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226783	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226784	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226785	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226786	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226787	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226788	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226789	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226790	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226791	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226792	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226793	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226794	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226795	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226796	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226797	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000015	UBERON:0000922		CD-1	125		Mus_musculus
