libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
SRX1788104	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788105	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788106	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788107	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788108	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788109	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788110	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788111	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788112	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788113	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788114	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788116	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788117	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788118	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788119	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788120	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788121	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788123	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788124	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788125	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788126	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788127	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
